Subject,Accuracy,Motion Direction,Movement Type
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,0,Cross,Across
1,0,Cross,Across
1,1,Cross,Across
1,0,Cross,Across
1,0,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,0,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,0,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,1,Cross,Across
1,0,Cross,Across
1,1,Cross,Across
1,0,Cross,Across
1,1,Cross,Across
1,0,Cross,Across
2,1,Cross,Across
2,0,Cross,Across
2,1,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,1,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,1,Cross,Across
2,1,Cross,Across
2,1,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,1,Cross,Across
2,0,Cross,Across
2,1,Cross,Across
2,1,Cross,Across
2,1,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,1,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,0,Cross,Across
2,1,Cross,Across
2,1,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,0,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,0,Cross,Across
3,0,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,0,Cross,Across
3,0,Cross,Across
3,0,Cross,Across
3,0,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,0,Cross,Across
3,1,Cross,Across
3,0,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
3,0,Cross,Across
3,0,Cross,Across
3,1,Cross,Across
3,1,Cross,Across
4,1,Cross,Across
4,0,Cross,Across
4,0,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,0,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,0,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,0,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,0,Cross,Across
4,1,Cross,Across
4,0,Cross,Across
4,0,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
4,1,Cross,Across
5,0,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,0,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,0,Cross,Across
5,1,Cross,Across
5,0,Cross,Across
5,0,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,0,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,0,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,1,Cross,Across
5,0,Cross,Across
6,0,Cross,Across
6,0,Cross,Across
6,1,Cross,Across
6,0,Cross,Across
6,0,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,0,Cross,Across
6,0,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,0,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,0,Cross,Across
6,0,Cross,Across
6,0,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,1,Cross,Across
6,0,Cross,Across
6,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
7,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,0,Cross,Across
8,1,Cross,Across
8,0,Cross,Across
8,0,Cross,Across
8,0,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,0,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,0,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,0,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,1,Cross,Across
8,0,Cross,Across
9,1,Cross,Across
9,0,Cross,Across
9,1,Cross,Across
9,1,Cross,Across
9,0,Cross,Across
9,1,Cross,Across
9,1,Cross,Across
9,1,Cross,Across
