Subject,Accuracy,Treatment Condition,Age Group
1,1,Treatment,Older
1,1,Control,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Control,Older
1,1,Control,Older
1,0,Treatment,Older
1,0,Treatment,Older
1,1,Treatment,Older
1,0,Control,Older
1,1,Treatment,Older
1,0,Treatment,Older
1,0,Control,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Treatment,Older
1,0,Control,Older
1,0,Control,Older
1,1,Control,Older
1,1,Control,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Control,Older
1,1,Control,Older
1,1,Control,Older
1,0,Control,Older
1,1,Control,Older
1,1,Control,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Control,Older
1,1,Treatment,Older
1,0,Control,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Control,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Treatment,Older
1,1,Treatment,Older
1,0,Control,Older
1,1,Control,Older
1,1,Treatment,Older
1,0,Control,Older
1,1,Treatment,Older
1,1,Control,Older
1,1,Treatment,Older
1,0,Control,Older
2,1,Control,Older
2,0,Control,Older
2,1,Treatment,Older
2,1,Treatment,Older
2,0,Treatment,Older
2,1,Treatment,Older
2,1,Control,Older
2,0,Control,Older
2,0,Control,Older
2,0,Treatment,Older
2,0,Control,Older
2,0,Control,Older
2,1,Treatment,Older
2,1,Control,Older
2,0,Treatment,Older
2,1,Treatment,Older
2,0,Control,Older
2,0,Treatment,Older
2,0,Treatment,Older
2,0,Control,Older
2,0,Treatment,Older
2,0,Control,Older
2,0,Control,Older
2,1,Control,Older
2,0,Treatment,Older
2,1,Control,Older
2,0,Treatment,Older
2,1,Treatment,Older
2,0,Treatment,Older
