Subject,Accuracy,Time of Day,Treatment Condition
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Control
1,1,Morning,Control
1,0,Morning,Treatment
1,0,Morning,Treatment
1,1,Morning,Treatment
1,0,Morning,Control
1,1,Morning,Treatment
1,0,Morning,Treatment
1,0,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Treatment
1,0,Morning,Control
1,0,Morning,Control
1,1,Morning,Control
1,1,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Control
1,1,Morning,Control
1,1,Morning,Control
1,0,Morning,Control
1,1,Morning,Control
1,1,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Control
1,1,Morning,Treatment
1,0,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Treatment
1,0,Morning,Control
1,1,Morning,Control
1,1,Morning,Treatment
1,0,Morning,Control
1,1,Morning,Treatment
1,1,Morning,Control
1,1,Morning,Treatment
1,0,Morning,Control
1,0,Night,Treatment
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Control
1,0,Night,Treatment
1,1,Night,Control
1,1,Night,Control
1,1,Night,Control
1,1,Night,Control
1,1,Night,Control
1,1,Night,Treatment
1,0,Night,Control
1,1,Night,Control
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Control
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Control
1,1,Night,Control
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Control
1,1,Night,Control
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Treatment
1,1,Night,Control
2,1,Morning,Control
2,0,Morning,Control
2,1,Morning,Treatment
2,1,Morning,Treatment
2,0,Morning,Treatment
2,1,Morning,Treatment
2,1,Morning,Control
2,0,Morning,Control
2,0,Morning,Control
2,0,Morning,Treatment
2,0,Morning,Control
2,0,Morning,Control
2,1,Morning,Treatment
2,1,Morning,Control
2,0,Morning,Treatment
2,1,Morning,Treatment
2,0,Morning,Control
2,0,Morning,Treatment
2,0,Morning,Treatment
2,0,Morning,Control
2,0,Morning,Treatment
2,0,Morning,Control
2,0,Morning,Control
2,1,Morning,Control
2,0,Morning,Treatment
2,1,Morning,Control
2,0,Morning,Treatment
2,1,Morning,Treatment
2,0,Morning,Treatment
2,1,Morning,Control
2,0,Morning,Control
2,0,Morning,Control
2,1,Morning,Treatment
2,1,Morning,Treatment
2,0,Morning,Control
2,0,Morning,Treatment
2,1,Morning,Treatment
2,1,Morning,Treatment
2,1,Morning,Treatment
2,0,Morning,Treatment
