SubID,Accuracy,Condition
1,0,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,0,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,0,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,0,Treatment
1,0,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
1,0,Treatment
1,1,Treatment
1,1,Treatment
1,1,Treatment
33,1,Control
33,0,Control
33,1,Control
33,1,Control
33,0,Control
33,0,Control
33,1,Control
33,1,Control
33,0,Control
33,1,Control
33,1,Control
33,1,Control
33,0,Control
33,1,Control
33,1,Control
33,1,Control
33,0,Control
33,1,Control
33,1,Control
33,1,Control
33,1,Control
33,0,Control
33,1,Control
33,1,Control
33,1,Control
33,0,Control
33,1,Control
33,1,Control
33,1,Control
33,0,Control
33,1,Control
33,1,Control
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,0,Treatment
2,1,Treatment
2,0,Treatment
2,0,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,0,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,1,Treatment
2,0,Treatment
2,1,Treatment
2,1,Treatment
34,0,Control
34,0,Control
34,0,Control
34,0,Control
34,1,Control
34,1,Control
34,1,Control
34,0,Control
34,0,Control
34,1,Control
34,1,Control
34,0,Control
34,1,Control
34,0,Control
34,0,Control
34,1,Control
34,1,Control
34,1,Control
34,1,Control
34,1,Control
34,1,Control
34,0,Control
34,1,Control
34,0,Control
34,1,Control
34,1,Control
34,1,Control
34,1,Control
34,0,Control
34,1,Control
34,1,Control
34,1,Control
3,0,Treatment
3,0,Treatment
3,0,Treatment
3,1,Treatment
3,1,Treatment
3,0,Treatment
3,0,Treatment
3,0,Treatment
3,0,Treatment
3,1,Treatment
3,0,Treatment
3,1,Treatment
3,0,Treatment
3,1,Treatment
3,0,Treatment
3,0,Treatment
3,1,Treatment
3,0,Treatment
3,0,Treatment
3,0,Treatment
3,0,Treatment
3,1,Treatment
3,1,Treatment
3,0,Treatment
3,1,Treatment
3,0,Treatment
3,1,Treatment
3,1,Treatment
3,0,Treatment
3,1,Treatment
3,0,Treatment
3,0,Treatment
35,1,Control
35,0,Control
35,1,Control
35,1,Control
35,0,Control
35,1,Control
35,0,Control
35,0,Control
35,0,Control
35,1,Control
35,1,Control
35,0,Control
35,1,Control
35,0,Control
35,1,Control
35,1,Control
35,0,Control
35,0,Control
35,0,Control
35,1,Control
35,1,Control
35,0,Control
35,1,Control
35,1,Control
35,1,Control
35,1,Control
35,1,Control
35,0,Control
35,1,Control
35,1,Control
35,1,Control
35,1,Control
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,0,Treatment
4,1,Treatment
4,1,Treatment
4,0,Treatment
4,1,Treatment
4,0,Treatment
4,0,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,0,Treatment
4,1,Treatment
4,0,Treatment
4,0,Treatment
4,0,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,1,Treatment
4,0,Treatment
36,0,Control
36,1,Control
36,1,Control
36,1,Control
36,1,Control
36,1,Control
36,0,Control
36,1,Control
36,0,Control
36,1,Control
36,1,Control
36,1,Control
36,0,Control
36,1,Control
36,1,Control
36,1,Control
36,1,Control
36,1,Control
36,1,Control
36,1,Control
36,1,Control
36,1,Control
36,1,Control
36,0,Control
36,1,Control
36,1,Control
36,0,Control
36,1,Control
36,0,Control
36,0,Control
36,0,Control
36,0,Control
5,0,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,0,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,0,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,0,Treatment
5,0,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
5,1,Treatment
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,0,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,0,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,1,Control
37,0,Control
37,0,Control
6,0,Treatment
6,1,Treatment
6,0,Treatment
6,1,Treatment
6,0,Treatment
6,1,Treatment
6,0,Treatment
6,1,Treatment
6,1,Treatment
6,1,Treatment
6,0,Treatment
6,1,Treatment
6,0,Treatment
6,0,Treatment
6,0,Treatment
6,1,Treatment
6,0,Treatment
6,1,Treatment
6,0,Treatment
6,1,Treatment
6,0,Treatment
6,1,Treatment
6,1,Treatment
6,0,Treatment
6,1,Treatment
6,0,Treatment
6,0,Treatment
6,0,Treatment
6,1,Treatment
6,0,Treatment
6,1,Treatment
6,1,Treatment
38,1,Control
38,0,Control
38,0,Control
38,0,Control
38,1,Control
38,1,Control
38,1,Control
38,1,Control
38,0,Control
38,1,Control
38,0,Control
38,1,Control
38,1,Control
38,0,Control
38,1,Control
38,0,Control
38,0,Control
38,0,Control
38,1,Control
38,1,Control
38,0,Control
38,1,Control
38,0,Control
38,1,Control
38,1,Control
38,0,Control
38,1,Control
38,1,Control
38,0,Control
38,0,Control
38,0,Control
38,0,Control
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,0,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
7,1,Treatment
39,1,Control
39,1,Control
39,0,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,0,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,0,Control
39,1,Control
39,0,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,1,Control
39,0,Control
39,1,Control
39,1,Control
8,1,Treatment
8,1,Treatment
8,0,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,0,Treatment
8,1,Treatment
8,1,Treatment
8,0,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,1,Treatment
8,0,Treatment
8,1,Treatment
8,1,Treatment
8,0,Treatment
8,0,Treatment
8,1,Treatment
8,1,Treatment
8,0,Treatment
8,1,Treatment
8,0,Treatment
40,0,Control
40,1,Control
40,0,Control
40,1,Control
40,0,Control
40,1,Control
40,0,Control
40,1,Control
40,1,Control
40,1,Control
40,1,Control
40,0,Control
40,1,Control
40,1,Control
40,1,Control
