SubID,Accuracy,Condition
1,1,Cond 3
1,1,Cond 2
1,0,Cond 1
1,0,Cond 4
1,0,Cond 1
1,1,Cond 3
1,1,Cond 4
1,1,Cond 4
1,0,Cond 4
1,1,Cond 3
1,0,Cond 3
1,1,Cond 3
1,0,Cond 4
1,1,Cond 1
1,0,Cond 2
1,0,Cond 1
1,1,Cond 3
1,0,Cond 1
1,0,Cond 1
1,1,Cond 3
1,1,Cond 2
1,0,Cond 1
1,0,Cond 4
1,0,Cond 4
1,1,Cond 1
1,1,Cond 4
1,1,Cond 2
1,0,Cond 2
1,0,Cond 3
1,1,Cond 3
1,0,Cond 2
1,1,Cond 4
1,1,Cond 1
1,0,Cond 1
1,1,Cond 2
1,0,Cond 2
1,1,Cond 2
1,0,Cond 2
1,0,Cond 4
1,1,Cond 3
1,1,Cond 2
1,1,Cond 1
1,1,Cond 4
1,1,Cond 3
1,0,Cond 4
1,0,Cond 1
1,1,Cond 3
1,0,Cond 2
2,1,Cond 2
2,1,Cond 2
2,1,Cond 4
2,1,Cond 3
2,1,Cond 4
2,1,Cond 3
2,1,Cond 4
2,1,Cond 4
2,1,Cond 3
2,1,Cond 2
2,1,Cond 1
2,1,Cond 2
2,1,Cond 1
2,1,Cond 1
2,1,Cond 1
2,1,Cond 1
2,0,Cond 1
2,0,Cond 4
2,0,Cond 3
2,1,Cond 2
2,1,Cond 4
2,1,Cond 1
2,1,Cond 3
2,1,Cond 3
2,0,Cond 1
2,1,Cond 4
2,1,Cond 3
2,1,Cond 4
2,0,Cond 3
2,1,Cond 3
2,1,Cond 1
2,0,Cond 2
2,1,Cond 3
2,1,Cond 4
2,1,Cond 3
2,1,Cond 4
2,1,Cond 2
2,1,Cond 4
2,1,Cond 2
2,0,Cond 1
2,1,Cond 2
2,0,Cond 2
2,0,Cond 3
2,1,Cond 1
2,0,Cond 2
2,0,Cond 4
2,1,Cond 2
2,1,Cond 1
3,1,Cond 2
3,1,Cond 2
3,0,Cond 2
3,0,Cond 3
3,1,Cond 3
3,0,Cond 1
3,0,Cond 4
3,0,Cond 3
3,1,Cond 1
3,1,Cond 2
3,1,Cond 4
3,0,Cond 4
3,0,Cond 3
3,1,Cond 1
3,1,Cond 4
