SubID,Accuracy,Condition
1,1,Condition 2
1,1,Condition 2
1,0,Condition 2
1,1,Condition 1
1,1,Condition 1
1,1,Condition 2
1,1,Condition 1
1,1,Condition 1
1,1,Condition 1
1,1,Condition 2
1,1,Condition 1
1,1,Condition 1
1,1,Condition 2
1,1,Condition 1
1,0,Condition 1
1,1,Condition 2
1,1,Condition 2
1,1,Condition 2
1,1,Condition 1
1,1,Condition 2
1,1,Condition 1
1,1,Condition 1
1,0,Condition 1
1,0,Condition 2
1,1,Condition 1
1,1,Condition 2
1,0,Condition 1
1,1,Condition 2
1,1,Condition 2
1,0,Condition 1
1,1,Condition 2
1,1,Condition 2
1,1,Condition 1
1,1,Condition 2
1,1,Condition 1
1,1,Condition 1
1,1,Condition 2
1,1,Condition 2
1,1,Condition 1
1,1,Condition 2
1,1,Condition 2
1,1,Condition 2
1,1,Condition 1
1,1,Condition 2
1,1,Condition 2
1,0,Condition 1
1,1,Condition 2
1,1,Condition 1
1,1,Condition 1
1,1,Condition 2
1,1,Condition 1
1,1,Condition 2
1,1,Condition 1
1,1,Condition 1
1,1,Condition 1
1,1,Condition 1
1,1,Condition 1
1,1,Condition 2
1,0,Condition 1
1,1,Condition 1
1,1,Condition 2
1,1,Condition 2
1,1,Condition 2
1,1,Condition 2
2,0,Condition 1
2,1,Condition 1
2,1,Condition 2
2,1,Condition 2
2,1,Condition 2
2,1,Condition 2
2,1,Condition 1
2,1,Condition 2
2,1,Condition 1
2,0,Condition 2
2,1,Condition 2
2,1,Condition 1
2,1,Condition 1
2,1,Condition 1
2,1,Condition 1
2,1,Condition 2
2,1,Condition 2
2,1,Condition 1
2,1,Condition 2
2,1,Condition 1
2,1,Condition 2
2,1,Condition 1
2,1,Condition 1
2,0,Condition 2
2,1,Condition 2
2,1,Condition 1
2,1,Condition 2
2,0,Condition 2
2,1,Condition 1
2,1,Condition 1
2,1,Condition 2
2,1,Condition 2
2,1,Condition 2
2,1,Condition 2
2,1,Condition 1
2,0,Condition 1
2,0,Condition 1
2,1,Condition 2
2,1,Condition 2
2,1,Condition 2
2,0,Condition 1
2,1,Condition 1
2,1,Condition 2
2,1,Condition 2
2,1,Condition 2
2,1,Condition 1
2,1,Condition 1
2,1,Condition 1
2,1,Condition 1
2,1,Condition 2
2,0,Condition 1
2,1,Condition 2
2,1,Condition 1
2,1,Condition 2
2,1,Condition 1
2,1,Condition 1
2,1,Condition 2
2,1,Condition 2
2,1,Condition 2
2,1,Condition 1
2,1,Condition 2
2,0,Condition 1
2,1,Condition 1
2,1,Condition 1
3,1,Condition 2
3,1,Condition 2
3,1,Condition 1
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 2
3,0,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,0,Condition 1
3,1,Condition 2
3,1,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 2
3,1,Condition 1
3,1,Condition 2
3,1,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 2
3,1,Condition 1
3,1,Condition 2
3,1,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 2
3,1,Condition 2
3,0,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 1
3,1,Condition 2
3,1,Condition 1
3,1,Condition 1
3,0,Condition 1
3,1,Condition 1
3,0,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,0,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 2
3,1,Condition 1
3,1,Condition 2
3,1,Condition 1
4,1,Condition 1
4,1,Condition 1
4,1,Condition 2
4,1,Condition 1
4,0,Condition 1
4,1,Condition 2
4,1,Condition 1
4,1,Condition 1
4,1,Condition 2
